iter	RMSE
0	8.802651762
1	8.502124521
2	8.224080188
3	7.926378711
4	7.668749515
5	7.428839635
6	7.180347113
7	6.947106133
8	6.720753909
9	6.504685849
10	6.288920507
11	6.110245813
12	5.934704124
13	5.774636012
14	5.618355264
15	5.463227317
16	5.337098723
17	5.196221154
18	5.062865064
19	4.952488027
20	4.833391156
21	4.72933012
22	4.632090587
23	4.535201232
24	4.44147529
25	4.360950528
26	4.29063946
27	4.206755695
28	4.122760762
29	4.060680379
30	4.00415244
31	3.948582787
32	3.8880594
33	3.828055098
34	3.776699781
35	3.730876038
36	3.677901718
37	3.626124967
38	3.584812512
39	3.523957573
40	3.486213774
41	3.434817926
42	3.382998529
43	3.312044515
44	3.272388066
45	3.217179908
46	3.154596352
47	3.108041385
48	3.053416077
49	3.008921302
50	2.939357585
51	2.882228152
52	2.83690899
53	2.821297768
54	2.769617608
55	2.737086887
56	2.712154556
57	2.677488967
58	2.632201955
59	2.605905715
60	2.583976796
61	2.547422751
62	2.504788582
63	2.466288906
64	2.443183332
65	2.397063121
66	2.372001004
67	2.335717175
68	2.312360956
69	2.286968934
70	2.275108553
71	2.25233201
72	2.221910591
73	2.205702718
74	2.181490021
75	2.163450385
76	2.147607547
77	2.142692852
78	2.133568243
79	2.111343741
80	2.101190625
81	2.0821105
82	2.065607653
83	2.052421902
84	2.037474002
85	2.030752009
86	2.022091801
87	2.021835482
88	2.007744999
89	1.997378197
90	1.985281626
91	1.970652703
92	1.93643383
93	1.923653384
94	1.907437384
95	1.897464008
96	1.883925311
97	1.871129137
98	1.860406256
99	1.849870814
100	1.835177534
101	1.821817833
102	1.809388904
103	1.793385226
104	1.778799732
105	1.768339263
106	1.75363214
107	1.7420487
108	1.736314048
109	1.726534962
110	1.717333923
111	1.709696298
112	1.70143343
113	1.693015616
114	1.683020824
115	1.672192718
116	1.661229026
117	1.656127456
118	1.65184067
119	1.646109558
120	1.620961769
121	1.611531282
122	1.603601978
123	1.596754254
124	1.586208437
125	1.57535939
126	1.566943281
127	1.561266441
128	1.552038903
129	1.540996514
130	1.532723343
131	1.528818364
132	1.52167755
133	1.515895119
134	1.511489198
135	1.506805413
136	1.492302711
137	1.487371157
138	1.479717063
139	1.464435816
140	1.458129865
141	1.452675706
142	1.443051115
143	1.432258621
144	1.430086313
145	1.420634639
146	1.408633658
