iter	RMSE
0	1.843556902
1	1.801464284
2	1.766054581
3	1.734051427
4	1.695672232
5	1.660703366
6	1.62523923
7	1.594111965
8	1.553198605
9	1.519588395
10	1.479953788
11	1.441669532
12	1.402914259
13	1.373087018
14	1.340287697
15	1.309050484
16	1.284740628
17	1.253886364
18	1.231132907
19	1.200070852
20	1.17070007
21	1.146301984
22	1.118772851
23	1.093163231
24	1.078046321
25	1.056428558
26	1.027764681
27	1.006547514
28	0.9865823257
29	0.9660860203
30	0.9446519043
31	0.9308973599
32	0.9103415377
33	0.8957866264
34	0.8783026762
35	0.8633839781
36	0.8449397733
37	0.8303025277
38	0.8146528144
39	0.7965441338
40	0.7851191888
41	0.7753907714
42	0.7643038603
43	0.751054355
44	0.7368371954
45	0.7268508808
46	0.7089496307
47	0.696367636
48	0.6850835765
49	0.6749322247
50	0.6666822691
51	0.6552771735
52	0.6434256793
53	0.6379729371
54	0.6279583035
55	0.6152503216
56	0.6026766107
57	0.5939534795
58	0.5839391515
59	0.5739857644
60	0.5667410283
61	0.5588505088
62	0.5514323103
63	0.5441682368
64	0.5357887666
65	0.5284158267
66	0.5186110346
67	0.5110999869
68	0.5036648022
69	0.4974505616
70	0.4911844172
71	0.4864618607
72	0.4801376207
73	0.4731238554
74	0.4651200638
75	0.4590019057
76	0.4527818942
77	0.44555864
78	0.4395056367
79	0.4356127455
80	0.4300145049
81	0.4256111655
82	0.4206912048
83	0.4170305659
84	0.4149454245
85	0.4094883312
86	0.4053575133
87	0.4008020864
88	0.3968743537
89	0.3931444758
90	0.3894291137
91	0.3847147542
92	0.379932294
93	0.3759649391
94	0.3707196233
95	0.3665392004
96	0.3611442462
97	0.3566386978
98	0.3524996444
99	0.3498257696
100	0.346257353
101	0.3419677818
102	0.3372884148
103	0.3343916676
104	0.3312677944
105	0.3281963191
106	0.3250774452
107	0.3207380743
108	0.3173867939
109	0.3138230267
110	0.3107280487
111	0.3081496059
112	0.3052024224
113	0.3024150004
114	0.2993922359
115	0.2964598317
116	0.2945959997
117	0.2923907268
118	0.2894359846
119	0.2864413937
120	0.2845345333
121	0.2822896473
122	0.2798626792
123	0.2774309989
124	0.275586564
125	0.2730610249
126	0.2711861327
127	0.2695259914
128	0.267113068
129	0.265535498
130	0.2634143315
131	0.2610227107
132	0.2591515515
133	0.2575697503
134	0.2539803541
135	0.2520381089
136	0.2503722491
137	0.2490363623
138	0.247604252
139	0.2461827264
140	0.2444353862
141	0.2423144388
142	0.2410162167
143	0.2395536234
144	0.2368915679
145	0.2343668754
146	0.2333672174
147	0.2305967064
148	0.2290976641
149	0.2274364687
150	0.226146537
151	0.2243124326
152	0.2221069424
153	0.2210731536
154	0.21987552
155	0.2186021689
156	0.2175325314
157	0.2163222657
158	0.2156715216
159	0.2138828437
160	0.2124393647
161	0.2108549635
162	0.2097292905
163	0.2083953831
164	0.2061174953
165	0.2049535884
166	0.2038842591
167	0.2026738868
168	0.2017585921
169	0.1999772756
170	0.1991818657
171	0.1975742618
172	0.1965176119
173	0.1957525129
174	0.1952217332
175	0.19398575
176	0.192388373
177	0.1913439467
178	0.1900366257
179	0.1891598003
180	0.1870679936
181	0.1861960653
182	0.1845807787
183	0.183419372
184	0.1824015027
185	0.180613258
186	0.1799203489
187	0.1792149821
188	0.1782809644
189	0.1778710463
190	0.1770331581
191	0.1764504568
192	0.1756136515
193	0.1751077022
194	0.174305743
195	0.173726865
196	0.1731807257
197	0.1725012629
198	0.1716097513
199	0.1704569253
200	0.1698108603
201	0.1693620846
202	0.1677300098
203	0.1669460371
204	0.1665173039
205	0.164899736
206	0.1639060486
207	0.163350287
208	0.1626209418
209	0.1619448078
210	0.1615144359
211	0.1607637373
212	0.1602824503
213	0.1595190294
214	0.1589304873
215	0.1582387004
216	0.1576445107
217	0.1572624765
218	0.1567247682
219	0.1553914141
220	0.1545170519
221	0.1537211367
222	0.1529237737
