iter	Passed	Remaining
0	30	15251
1	66	16474
2	129	21453
3	168	20896
4	209	20768
5	222	18329
6	270	19027
7	317	19553
8	367	20057
9	411	20172
10	458	20373
11	504	20521
12	550	20629
13	593	20592
14	628	20307
15	654	19811
16	688	19568
17	721	19307
18	760	19242
19	807	19383
20	846	19312
21	886	19269
22	941	19517
23	987	19578
24	1029	19568
25	1066	19447
26	1096	19200
27	1129	19037
28	1171	19033
29	1215	19048
30	1272	19252
31	1312	19194
32	1365	19328
33	1411	19345
34	1457	19362
35	1515	19528
36	1545	19335
37	1583	19248
38	1604	18963
39	1624	18686
40	1676	18767
41	1722	18778
42	1760	18706
43	1806	18725
44	1851	18720
45	1898	18733
46	1952	18815
47	1998	18822
48	2051	18883
49	2097	18881
50	2107	18552
51	2141	18453
52	2184	18421
53	2198	18161
54	2220	17963
55	2254	17874
56	2286	17773
57	2333	17780
58	2368	17702
59	2429	17813
60	2470	17780
61	2498	17647
62	2533	17573
63	2579	17570
64	2618	17524
65	2656	17470
66	2695	17420
67	2742	17422
68	2777	17349
69	2813	17282
70	2855	17253
71	2892	17191
72	2939	17196
73	2993	17231
74	3050	17287
75	3090	17241
76	3135	17225
77	3182	17215
78	3236	17249
79	3258	17104
80	3297	17056
81	3348	17069
82	3371	16940
83	3418	16927
84	3455	16870
85	3495	16825
86	3549	16848
87	3592	16818
88	3617	16707
89	3654	16649
90	3684	16558
91	3699	16407
92	3749	16410
93	3788	16363
94	3836	16354
95	3880	16329
96	3927	16315
97	3964	16262
98	3980	16124
99	4012	16049
100	4057	16027
101	4101	16004
102	4155	16016
103	4170	15881
104	4215	15859
105	4262	15844
106	4303	15806
107	4355	15809
108	4387	15738
109	4436	15729
110	4486	15722
111	4536	15716
112	4582	15695
113	4631	15683
114	4680	15667
115	4724	15639
116	4743	15528
117	4785	15492
118	4829	15462
119	4869	15420
120	4907	15370
121	4955	15353
122	5009	15354
123	5064	15358
124	5107	15321
125	5172	15352
126	5222	15338
127	5270	15316
128	5319	15298
129	5342	15204
130	5387	15176
131	5428	15135
132	5476	15111
133	5522	15083
134	5562	15040
135	5604	15000
136	5653	14979
137	5700	14953
138	5743	14917
139	5798	14909
140	5844	14881
141	5889	14849
142	5935	14817
143	5988	14805
144	6022	14743
145	6075	14730
146	6127	14713
147	6180	14699
148	6216	14644
149	6247	14577
150	6288	14533
151	6340	14515
152	6381	14473
153	6433	14455
154	6480	14424
155	6539	14419
156	6595	14409
157	6634	14361
158	6661	14286
159	6717	14273
160	6763	14241
161	6804	14196
162	6850	14162
163	6900	14137
164	6958	14127
165	7033	14151
166	7068	14094
167	7116	14063
168	7167	14037
169	7219	14015
170	7262	13972
171	7315	13949
172	7374	13939
173	7433	13927
174	7467	13868
175	7486	13781
176	7526	13734
177	7559	13675
178	7594	13619
179	7628	13562
180	7669	13516
181	7709	13469
182	7756	13436
183	7782	13365
184	7820	13315
185	7872	13290
186	7927	13268
187	7973	13232
188	8024	13205
189	8078	13180
190	8133	13158
191	8179	13121
192	8218	13073
193	8265	13037
194	8312	13002
195	8369	12981
196	8418	12948
197	8471	12921
198	8512	12876
199	8565	12848
200	8620	12822
201	8660	12776
202	8709	12742
203	8757	12707
204	8806	12672
205	8860	12645
206	8892	12587
207	8933	12541
208	8980	12503
209	9033	12475
210	9078	12434
211	9125	12396
212	9185	12376
213	9221	12323
214	9277	12298
215	9331	12268
216	9361	12208
217	9401	12162
218	9447	12121
219	9492	12081
220	9530	12031
221	9568	11982
222	9620	11949
223	9660	11903
224	9713	11872
225	9767	11841
226	9823	11814
227	9878	11784
228	9918	11737
229	9966	11700
230	10002	11647
231	10042	11601
232	10090	11562
233	10139	11526
234	10182	11482
235	10223	11436
236	10267	11394
237	10307	11347
238	10347	11300
239	10398	11265
240	10447	11228
241	10502	11196
242	10556	11164
243	10609	11130
244	10641	11076
245	10685	11032
246	10737	10998
247	10792	10966
248	10839	10926
249	10878	10878
250	10929	10842
251	10974	10800
252	11018	10757
253	11064	10715
254	11110	10674
255	11157	10634
256	11201	10591
257	11250	10552
258	11296	10511
259	11336	10464
260	11383	10423
261	11438	10390
262	11478	10343
263	11519	10297
264	11571	10261
265	11611	10214
266	11656	10172
267	11694	10123
268	11746	10086
269	11783	10038
270	11819	9987
271	11863	9944
272	11900	9895
273	11953	9859
274	12004	9821
275	12057	9786
276	12113	9752
277	12161	9711
278	12204	9667
279	12252	9626
280	12301	9587
281	12342	9541
282	12398	9506
283	12448	9467
284	12496	9427
285	12544	9386
286	12593	9346
287	12647	9309
288	12695	9269
289	12734	9221
290	12779	9178
291	12825	9135
292	12873	9095
293	12918	9052
294	12962	9007
295	13008	8965
296	13061	8927
297	13105	8883
298	13165	8850
299	13208	8805
300	13222	8741
301	13271	8701
302	13306	8651
303	13353	8609
304	13394	8563
305	13451	8528
306	13496	8484
307	13546	8444
308	13587	8398
309	13632	8355
310	13673	8309
311	13744	8281
312	13787	8237
313	13845	8201
314	13906	8167
315	13953	8124
316	13983	8072
317	14034	8032
318	14072	7984
319	14126	7945
320	14158	7895
321	14199	7849
322	14250	7809
323	14283	7758
324	14338	7720
325	14373	7671
326	14420	7629
327	14468	7587
328	14516	7545
329	14556	7498
330	14595	7452
331	14639	7407
332	14688	7366
333	14732	7322
334	14771	7275
335	14825	7236
336	14879	7197
337	14934	7158
338	14976	7112
339	15016	7066
340	15058	7021
341	15112	6981
342	15148	6933
343	15194	6890
344	15234	6844
345	15288	6804
346	15336	6762
347	15372	6714
348	15411	6667
349	15451	6621
350	15498	6579
351	15539	6533
352	15585	6490
353	15633	6447
354	15673	6401
355	15712	6355
356	15746	6307
357	15796	6265
358	15829	6217
359	15882	6176
360	15922	6130
361	15984	6093
362	16049	6057
363	16103	6016
364	16157	5975
365	16227	5941
366	16263	5893
367	16304	5848
368	16338	5800
369	16366	5750
370	16406	5704
371	16441	5657
372	16475	5609
373	16519	5565
374	16564	5521
375	16610	5477
376	16657	5434
377	16697	5389
378	16732	5341
379	16777	5298
380	16823	5254
381	16855	5206
382	16895	5161
383	16935	5115
384	16975	5070
385	17028	5029
386	17062	4982
387	17090	4933
388	17130	4888
389	17175	4844
390	17202	4795
391	17236	4748
392	17280	4704
393	17326	4661
394	17353	4613
395	17383	4565
396	17422	4520
397	17469	4477
398	17524	4435
399	17564	4391
400	17603	4346
401	17639	4300
402	17678	4255
403	17719	4210
404	17758	4165
